train-brain-experiment-01a.html:116 ---------------------------------------------------------
train-brain-experiment-01a.html:117 *** Started Learning using 120000 iterations ***
train-brain-experiment-01a.html:118 ---------------------------------------------------------
55600,-0.035
56000,0.025
56400,0.0175
56800,-0.08
57200,0.04
57600,0.0925
58000,0.01
58400,-0.095
58800,-0.02
59200,-0.02
59600,0.01
60000,0.04
60400,-0.065
60800,0.0175
61200,-0.065
61600,0.01
62000,-0.0575
62400,0.04
62800,-0.0275
63200,0.01
63600,0.0775
64000,-0.035
64400,0.025
64800,-0.02
65200,0.085
65600,0.0025
66000,0.0175
66400,0.055
66800,0.0475
67200,0.1375
67600,0.01
68000,0.055
68400,0.0025
68800,0.0775
69200,0.1075
69600,0.055
70000,0.04
70400,-0.005
70800,0.0925
71200,0.055
71600,0.0625
72000,0.01
72400,0.025
72800,0.1375
73200,0.0475
73600,0.16
74000,0.1
74400,0.0175
74800,0.1375
75200,-0.005
75600,0.0925
76000,0.0325
76400,0.07
76800,0.025
77200,0.0775
77600,0.1225
78000,0.2125
78400,0.1075
78800,0.1225
79200,0.07
79600,0.07
80000,0.1525
80400,0.04
80800,0.22
81200,0.1075
81600,0.025
82000,0.22
82400,0.1825
82800,0.1
83200,0.1375
83600,-0.005
84000,0.205
84400,0.13
84800,0.1825
85200,0.2575
85600,0.1525
86000,0.0925
86400,0.1975
86800,0.2275
87200,0.1225
87600,0.16
88000,0.13
88400,0.1075
88800,0.1975
89200,0.07
89600,0.16
90000,0.1825
90400,0.175
90800,0.19
91200,0.2275
91600,0.1975
92000,0.1525
92400,0.235
92800,0.2125
93200,0.19
93600,0.19
94000,0.1975
94400,0.25
94800,0.1975
95200,0.2425
95600,0.175
96000,0.235
96400,0.28
96800,0.0925
97200,0.205
97600,0.3325
98000,0.355
98400,0.235
98800,0.325
99200,0.2875
99600,0.22
100000,0.385
100400,0.19
100800,0.385
101200,0.2725
101600,0.175
102000,0.2875
102400,0.205
102800,0.2875
103200,0.3625
103600,0.3025
104000,0.3175
104400,0.3775
104800,0.28
105200,0.3025
105600,0.34
106000,0.4
106400,0.22
106800,0.2275
107200,0.295
107600,0.3025
108000,0.2575
108400,0.34
108800,0.3325
109200,0.385
109600,0.385
110000,0.3625
110400,0.355
110800,0.34
111200,0.415
111600,0.3625
112000,0.5125
112400,0.325
112800,0.415
113200,0.295
113600,0.325
114000,0.3325
114400,0.34
114800,0.415
115200,0.385
115600,0.37
116000,0.3925
116400,0.4075
116800,0.475
117200,0.4225
117600,0.37
118000,0.445
118400,0.445
118800,0.3925
119200,0.37
119600,0.415
120000,0.4

train-brain-experiment-01a.html:180 -------------------------------------------------------------------------------------
train-brain-experiment-01a.html:181 Learning Time (msecs) :798539.0679999982
train-brain-experiment-01a.html:182 -------------------------------------------------------------------------------------
